
cnt=1: params=[0, 0],  best_score=96.75901024094878
cnt=2: params=[0, 1],  best_score=96.65176607112761
cnt=4: params=[0, 3],  best_score=96.5965729581744
cnt=12: params=[0, 11],  best_score=96.58263753846917
cnt=13: params=[0, 12],  best_score=96.05620480863888
cnt=14: params=[0, 13],  best_score=95.97870010992416
cnt=15: params=[0, 14],  best_score=95.92736190649127
cnt=17: params=[0, 16],  best_score=95.82415010975001
cnt=18: params=[0, 17],  best_score=95.43758986138258
